Position: (4, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (5, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (6, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (6, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (5, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 0), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 1), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 2), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 3), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 4), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 5), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 6), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 7), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 8), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 9), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 10), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (4, 11), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (3, 11), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 11), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 12), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 13), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 14), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 15), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
Position: (2, 16), Pause: false, GameOver: false, Tetromino: Tetromino { tetromino: [[false, false, true], [true, true, true], [false, false, false]] }
